T,Value,Duration,Acceleration
1,0x985784436059d116,1954,1
2,0x985784436059d116,978,1.99796
3,0x985784436059d116,630,3.10159
4,0x985784436059d116,486,4.02058
5,0x985784436059d116,410,4.76585
6,0x985784436059d116,344,5.68023
7,0x985784436059d116,307,6.36482
8,0x985784436059d116,273,7.15751
9,0x985784436059d116,253,7.72332
10,0x985784436059d116,232,8.42241
11,0x985784436059d116,196,9.96939
12,0x985784436059d116,200,9.77
13,0x985784436059d116,191,10.2304
14,0x985784436059d116,181,10.7956
15,0x985784436059d116,173,11.2948
16,0x985784436059d116,158,12.3671
17,0x985784436059d116,154,12.6883
18,0x985784436059d116,151,12.9404
19,0x985784436059d116,153,12.7712
20,0x985784436059d116,144,13.5694
21,0x985784436059d116,140,13.9571
22,0x985784436059d116,137,14.2628
23,0x985784436059d116,127,15.3858
24,0x985784436059d116,123,15.8862
25,0x985784436059d116,111,17.6036
26,0x985784436059d116,121,16.1488
27,0x985784436059d116,114,17.1404
28,0x985784436059d116,110,17.7636
29,0x985784436059d116,107,18.2617
30,0x985784436059d116,114,17.1404
31,0x985784436059d116,103,18.9709
32,0x985784436059d116,100,19.54
33,0x985784436059d116,99,19.7374
34,0x985784436059d116,93,21.0108
35,0x985784436059d116,90,21.7111
36,0x985784436059d116,80,24.425
37,0x985784436059d116,86,22.7209
38,0x985784436059d116,84,23.2619
39,0x985784436059d116,79,24.7342
40,0x985784436059d116,83,23.5422
41,0x985784436059d116,86,22.7209
42,0x985784436059d116,67,29.1642
43,0x985784436059d116,75,26.0533
44,0x985784436059d116,76,25.7105
45,0x985784436059d116,63,31.0159
46,0x985784436059d116,75,26.0533
47,0x985784436059d116,86,22.7209
48,0x985784436059d116,98,19.9388
49,0x985784436059d116,81,24.1235
50,0x985784436059d116,84,23.2619
51,0x985784436059d116,107,18.2617
52,0x985784436059d116,114,17.1404
53,0x985784436059d116,83,23.5422
54,0x985784436059d116,83,23.5422
55,0x985784436059d116,87,22.4598
56,0x985784436059d116,87,22.4598
